Rank,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
Trinidad And Tobago,54.2,16.5,36.2,49.9,48.9,52.8
Slovenia,54.2,15.8,35.8,44.5,45.6,68.2
Palestine,53.0,9.2,32.1,46.0,38.4,52.8
Panama,53.0,24.4,39.3,50.3,47.4,39.0
Mauritius,51.6,11.3,32.3,46.1,40.3,36.8
Estonia,51.0,15.6,34.1,36.2,53.1,76.8
Portugal,50.8,21.8,36.9,39.9,43.9,53.6
Kuwait,50.3,33.0,42.0,36.7,48.0,98.3
Croatia,50.0,12.7,32.2,40.5,42.1,57.2
Thailand,49.9,17.1,34.2,50.1,24.8,39.9
Fiji,49.7,19.8,35.4,54.9,36.7,33.1
Latvia,49.6,12.0,31.6,35.7,47.7,56.6
Chile,49.2,15.5,33.1,41.3,46.8,51.4
Belize,49.1,10.6,30.7,40.6,39.5,71.2
Saudi Arabia,48.7,11.5,30.9,38.0,34.2,110.9
Oman,48.5,19.4,34.6,40.9,47.1,83.1
Myanmar,48.1,23.0,36.1,52.6,22.2,12.7
Cambodia,47.8,15.1,32.2,43.9,25.4,11.8
El Salvador,47.7,15.6,32.4,46.3,36.3,28.6
Dominican Republic,46.2,10.6,29.2,36.4,42.2,25.2
Nicaragua,45.9,8.9,28.2,43.7,31.6,24.4
Czech Republic,45.7,19.4,33.1,37.9,33.8,71.2
Lithuania,45.4,12.8,29.8,35.1,43.8,60.4
Mozambique,44.6,19.9,32.8,33.5,38.4,25.5
Slovakia,44.6,15.9,30.9,37.7,33.9,61.8
Brunei,44.3,23.3,34.3,37.7,35.1,94.3
Namibia,44.1,16.9,31.1,38.9,41.2,60.2
South Africa,43.7,17.2,31.1,34.4,41.8,81.3
Ghana,43.1,26.6,35.2,38.3,27.8,20.7
Guatemala,43.0,14.8,29.5,37.7,33.7,41.5
Brazil,42.6,10.9,27.5,30.7,34.2,36.3
Honduras,42.3,11.0,27.3,33.0,31.6,35.5
Ecuador,42.0,11.8,27.6,36.5,31.5,40.8
Cuba,41.7,6.3,24.8,36.3,29.7,2.7
Hungary,41.7,13.8,28.4,31.9,34.2,53.8
Iran,41.4,14.3,28.4,40.1,25.5,25.9
China,40.5,17.2,29.4,41.0,29.7,63.9
Iraq,39.8,11.1,26.1,32.7,33.9,46.4
Suriname,39.6,8.2,24.6,44.1,33.4,24.8
Malaysia,39.5,10.7,25.7,38.6,23.0,70.4
Poland,39.4,15.3,27.9,30.4,32.9,66.1
Botswana,39.4,11.4,26.0,33.3,42.6,67.6
Montenegro,39.4,10.3,25.5,30.0,34.2,42.2
Kenya,39.3,11.2,25.8,33.9,32.4,29.3
Peru,38.8,12.4,26.2,33.2,26.3,37.4
Argentina,38.7,10.4,25.2,31.3,36.4,52.0
Russia,38.6,12.0,25.9,30.8,39.3,43.7
Vietnam,38.2,13.3,26.3,37.0,20.0,30.2
Bulgaria,37.4,9.4,24.0,30.7,29.7,51.0
Philippines,37.0,8.7,23.4,33.2,20.9,27.2
Indonesia,36.9,9.0,23.5,37.5,18.2,31.0
Albania,36.6,8.6,23.2,28.5,28.7,32.2
Serbia,36.3,8.7,23.1,26.0,29.9,37.9
Bosnia And Herzegovina,36.2,6.6,22.0,28.7,24.8,46.5
Romania,36.1,10.2,23.7,29.5,31.7,54.2
Turkey,35.7,7.3,22.1,30.9,25.2,44.4
Zambia,35.5,11.0,23.8,29.1,25.6,69.4
Tanzania,35.1,14.7,25.4,29.0,24.4,20.6
Morocco,34.6,9.3,22.5,30.3,23.9,39.4
Mongolia,34.4,9.7,22.6,32.1,23.3,29.8
Mexico,34.3,10.9,23.1,31.4,31.0,47.0
Bolivia,34.1,10.6,22.9,26.8,26.6,44.7
Rwanda,34.0,9.7,22.4,27.3,28.5,21.1
Paraguay,33.3,9.8,22.1,26.9,27.5,35.2
Belarus,33.0,10.3,22.2,27.8,34.3,42.9
Sri Lanka,33.0,6.8,20.5,36.4,19.3,25.6
Armenia,32.7,10.6,22.1,25.4,31.0,30.4
Moldova,32.6,7.9,20.8,25.6,27.2,29.5
Bangladesh,32.6,5.2,19.5,29.8,19.8,37.2
North Macedonia,32.3,6.5,19.9,25.0,24.5,40.2
Nigeria,31.7,21.6,26.9,31.5,20.7,15.9
Uganda,31.7,10.0,21.3,26.4,24.2,22.5
Ukraine,30.9,10.3,21.1,24.1,24.0,33.1
Nepal,30.7,5.0,18.4,26.5,20.3,24.2
Algeria,30.5,5.5,18.6,31.3,16.5,32.0
Colombia,30.3,9.4,20.3,24.4,22.3,34.6
Kazakhstan,30.1,9.5,20.2,23.6,29.9,38.7
Azerbaijan,29.8,9.2,19.9,23.3,31.4,28.5
Egypt,29.1,5.3,17.7,25.1,24.2,23.3
Kyrgyzstan,28.1,9.0,19.0,25.5,22.3,25.3
Georgia,27.8,9.3,18.9,22.0,26.0,30.2
Kosovo (Disputed Territory),27.4,8.7,18.5,24.6,21.1,54.1
Venezuela,27.2,6.9,17.5,29.6,22.3,2.8
Uzbekistan,25.8,7.8,17.2,22.0,19.3,25.8
Tunisia,25.4,5.2,15.7,23.5,14.0,37.6
Syria,25.3,5.4,15.8,22.8,20.8,12.4
India,25.1,6.0,16.0,25.2,17.5,61.7
Afghanistan,24.5,4.3,14.8,18.8,17.1,28.9
Pakistan,18.6,4.0,11.6,16.5,13.8,36.1
