Rank,Price_to_Income,Gross_Rental_Ce,Gross_Rental_Out,Price_Ratio_Ce,Price_Ratio_Out,Mortgage_As_Percentage,Affordability
Belgium,6.6,6.8,6.3,14.8,15.8,43.2,2.3
New Zealand,6.3,5.7,6.4,17.4,15.5,51.5,1.9
Mexico,6.2,7.4,6.5,13.6,15.4,77.2,1.3
Canada,6.1,5.4,6.0,18.4,16.7,40.9,2.4
Netherlands,5.9,6.3,6.6,16.0,15.1,41.0,2.4
Denmark,5.9,4.7,5.3,21.1,18.9,39.2,2.5
Bahrain,5.7,10.4,12.7,9.6,7.9,49.1,2.0
Iceland,5.5,8.0,8.7,12.5,11.4,51.6,1.9
United Arab Emirates,5.4,10.6,11.0,9.4,9.1,40.9,2.4
Puerto Rico,4.7,7.1,6.9,14.1,14.4,37.6,2.7
United States,3.4,11.0,12.5,9.1,8.0,24.7,4.0
South Africa,3.3,9.7,10.2,10.3,9.8,37.2,2.7
Oman,3.3,8.2,14.5,12.2,6.9,28.2,3.5
Saudi Arabia,2.8,7.0,8.2,14.3,12.2,20.5,4.9
