Country,Price_to_Income,Gross_Rental_Ce,Gross_Rental_Out,Price_Ratio_Ce,Price_Ratio_Out,Mortgage_As_Percentage,Affordability
Lithuania,10.9,4.1,4.3,24.4,23.1,68.5,1.5
Austria,10.9,3.3,3.6,30.5,27.8,66.9,1.5
Kazakhstan,10.9,6.5,6.0,15.4,16.7,176.9,0.6
Russia,10.8,5.9,5.9,17.0,16.8,129.8,0.8
Honduras,10.8,7.4,6.3,13.5,15.9,131.0,0.8
Kosovo (Disputed Territory),10.7,4.8,5.2,20.9,19.2,82.6,1.2
Mexico,10.7,5.9,5.8,17.0,17.3,132.7,0.8
Tunisia,10.6,5.0,5.2,19.9,19.4,109.2,0.9
Greece,10.6,4.2,4.1,23.7,24.4,81.9,1.2
Slovenia,10.5,3.8,3.9,26.1,25.6,71.6,1.4
Costa Rica,10.3,6.0,5.2,16.8,19.2,119.4,0.8
Slovakia,10.2,5.1,5.4,19.6,18.4,60.2,1.7
United Kingdom,10.1,3.5,4.1,28.4,24.3,68.7,1.5
Guatemala,10.1,7.1,7.5,14.1,13.3,98.7,1.0
Malaysia,9.9,3.7,3.9,27.3,25.4,75.4,1.3
Italy,9.7,3.9,4.8,25.9,20.9,59.1,1.7
Bolivia,9.7,6.9,6.9,14.6,14.4,100.1,1.0
Germany,9.4,3.2,3.5,31.0,28.3,56.3,1.8
Spain,9.4,4.6,5.2,21.6,19.2,58.7,1.7
Sweden,9.3,3.1,3.5,32.5,28.5,61.6,1.6
Iraq,9.1,5.9,7.4,16.9,13.5,99.7,1.0
Oman,9.1,3.6,5.0,28.1,20.1,71.3,1.4
Estonia,9.1,4.0,4.1,24.9,24.3,57.2,1.7
Latvia,8.8,4.6,5.3,21.7,18.9,56.4,1.8
Norway,8.8,3.6,4.1,27.5,24.5,57.3,1.7
Switzerland,8.7,3.0,3.3,33.7,30.5,50.8,2.0
Bahrain,8.6,7.5,7.8,13.4,12.9,77.2,1.3
New Zealand,8.5,4.3,4.6,23.5,21.9,65.5,1.5
Bulgaria,8.5,5.2,5.8,19.1,17.4,61.3,1.6
Jordan,8.4,6.4,7.1,15.6,14.1,83.6,1.2
Finland,8.3,3.3,4.3,30.3,23.4,48.1,2.1
Cyprus,8.2,6.2,6.3,16.2,15.8,55.9,1.8
Canada,8.0,4.3,5.3,23.3,18.9,56.4,1.8
Turkey,7.8,5.5,5.9,18.1,16.8,155.5,0.6
Australia,7.5,4.5,4.7,22.4,21.4,55.6,1.8
Netherlands,7.5,5.3,5.6,18.9,18.0,47.1,2.1
Ireland,7.5,6.6,7.1,15.1,14.2,52.5,1.9
Denmark,7.5,4.0,4.1,24.8,24.6,44.6,2.2
Belgium,6.9,4.9,5.1,20.3,19.7,41.3,2.4
Iceland,6.7,6.5,7.2,15.5,14.0,59.4,1.7
Trinidad And Tobago,6.1,11.4,7.6,8.8,13.1,54.5,1.8
Qatar,5.8,7.2,7.4,13.9,13.5,45.3,2.2
United Arab Emirates,5.3,9.0,9.1,11.1,11.0,39.2,2.5
Namibia,5.2,10.3,10.3,9.7,9.7,65.4,1.5
Palestine,4.4,7.2,7.5,14.0,13.3,46.5,2.2
South Africa,3.9,9.9,11.3,10.1,8.9,47.5,2.1
Puerto Rico,3.5,9.3,8.1,10.7,12.3,27.2,3.7
United States,3.5,10.4,11.2,9.7,8.9,26.4,3.8
Saudi Arabia,2.8,7.2,8.0,13.8,12.4,20.6,4.8
