Rank,Price_to_Income,Gross_Rental_Ce,Gross_Rental_Out,Price_Ratio_Ce,Price_Ratio_Out,Mortgage_As_Percentage,Affordability
Botswana,12.4,9.5,2.4,10.5,42.2,152.1,0.7
Uruguay,12.2,5.2,5.1,19.1,19.6,120.8,0.8
Kazakhstan,12.0,5.1,5.3,19.8,18.8,173.8,0.6
Croatia,11.6,3.2,3.4,31.3,29.0,101.9,1.0
Panama,11.3,10.9,7.1,9.2,14.0,90.6,1.1
Bolivia,11.2,5.3,5.1,18.7,19.6,109.4,0.9
Bosnia And Herzegovina,11.1,3.6,3.4,28.0,29.8,109.0,0.9
Estonia,11.0,3.9,4.0,25.6,24.9,73.8,1.4
Tunisia,11.0,5.4,5.2,18.5,19.2,107.3,0.9
Egypt,11.0,7.7,8.3,13.0,12.0,127.0,0.8
Bangladesh,10.9,3.3,4.2,30.3,23.7,178.9,0.6
Romania,10.7,5.0,4.8,20.2,20.6,94.9,1.1
Italy,10.6,3.0,3.8,33.2,26.2,83.5,1.2
Slovenia,10.3,3.5,3.9,28.3,25.5,75.4,1.3
Guatemala,10.2,6.5,7.2,15.3,13.9,118.7,0.8
Poland,9.9,4.5,4.8,22.2,20.8,76.7,1.3
Latvia,9.9,5.0,5.7,20.2,17.5,66.9,1.5
Czech Republic,9.9,4.1,4.7,24.5,21.5,64.7,1.5
Israel,9.6,3.3,3.6,30.3,27.9,60.7,1.6
Trinidad And Tobago,9.5,9.2,4.8,10.9,20.7,90.6,1.1
Austria,9.4,3.5,4.2,28.7,24.0,62.2,1.6
France,9.1,3.4,3.8,29.3,26.1,61.3,1.6
Bahrain,9.0,7.0,9.6,14.3,10.5,77.4,1.3
India,8.9,3.2,3.8,31.5,26.4,108.6,0.9
Chile,8.9,4.5,5.0,22.2,20.1,71.2,1.4
Slovakia,8.8,6.0,6.3,16.6,15.8,59.0,1.7
Luxembourg,8.8,5.2,4.8,19.1,20.7,53.3,1.9
Malaysia,8.8,3.9,3.6,25.4,28.1,67.3,1.5
Bulgaria,8.6,5.6,6.1,17.7,16.5,81.8,1.2
Spain,8.5,4.0,4.5,24.8,22.4,59.1,1.7
Sweden,8.4,3.1,3.6,31.9,28.0,54.1,1.8
Greece,8.3,3.6,3.6,27.5,27.7,63.1,1.6
United Kingdom,8.3,4.4,4.9,22.5,20.4,59.3,1.7
Malta,8.2,4.8,4.8,20.7,21.0,57.3,1.7
Ireland,8.1,4.3,5.4,23.0,18.6,59.7,1.7
Iraq,8.1,8.9,9.9,11.3,10.1,85.6,1.2
Switzerland,8.1,3.2,3.3,31.7,30.5,48.6,2.1
Hungary,8.0,5.2,5.6,19.2,17.8,71.0,1.4
Australia,7.9,4.2,4.7,23.5,21.2,64.2,1.6
Portugal,7.9,5.6,5.8,17.8,17.2,58.6,1.7
Jordan,7.8,7.0,7.4,14.4,13.6,85.2,1.2
Nigeria,7.8,17.0,4.8,5.9,20.8,159.3,0.6
Qatar,7.7,10.2,7.0,9.8,14.3,57.7,1.7
Palestine,7.6,4.9,5.5,20.3,18.2,61.4,1.6
Nicaragua,7.3,11.0,4.5,9.1,22.4,113.7,0.9
Norway,7.3,4.8,4.9,21.0,20.6,50.6,2.0
Costa Rica,7.1,8.2,6.8,12.2,14.8,102.5,1.0
Germany,7.1,3.7,4.0,27.0,25.3,46.9,2.1
Belize,7.1,1.4,3.7,73.0,26.9,80.7,1.2
Cyprus,6.9,4.0,4.0,24.8,25.2,58.9,1.7
New Zealand,6.8,5.4,6.1,18.6,16.4,58.4,1.7
Finland,6.8,3.8,4.8,26.2,21.0,41.9,2.4
Turkey,6.6,5.7,6.9,17.6,14.4,85.9,1.2
Belgium,6.5,7.9,7.0,12.7,14.3,44.0,2.3
Fiji,6.3,21.9,7.7,4.6,13.0,69.0,1.5
Brunei,6.3,15.5,5.7,6.5,17.6,45.7,2.2
United Arab Emirates,6.2,9.3,9.9,10.8,10.1,48.4,2.1
Namibia,6.1,8.0,31.4,12.5,3.2,73.3,1.4
Canada,5.8,5.6,6.3,17.7,15.9,39.3,2.5
Mexico,5.7,6.9,6.3,14.5,16.0,69.7,1.4
Kuwait,5.6,7.6,7.3,13.2,13.7,48.9,2.0
Netherlands,5.4,6.0,6.2,16.6,16.0,39.6,2.5
Mozambique,5.4,19.0,21.9,5.3,4.6,112.7,0.9
Bahamas,5.4,8.0,5.1,12.5,19.6,53.0,1.9
Denmark,5.2,4.7,5.1,21.3,19.6,35.5,2.8
Us Virgin Islands,5.1,3.7,17.2,27.2,5.8,45.6,2.2
Iceland,5.1,7.5,7.6,13.4,13.2,46.7,2.1
Libya,5.0,12.5,12.6,8.0,7.9,46.5,2.2
Honduras,4.6,6.8,9.7,14.7,10.3,58.6,1.7
Puerto Rico,4.4,6.7,6.4,15.0,15.6,34.8,2.9
Jamaica,3.7,16.5,11.4,6.1,8.8,42.7,2.3
United States,3.4,9.5,11.5,10.5,8.7,25.1,4.0
South Africa,3.2,9.6,9.8,10.4,10.2,34.9,2.9
Saudi Arabia,2.9,6.6,7.2,15.1,13.9,21.9,4.6
Oman,2.6,11.2,12.5,8.9,8.0,23.9,4.2
Tanzania,2.5,63.9,20.1,1.6,5.0,38.5,2.6
