Rank,Price_to_Income,Gross_Rental_Ce,Gross_Rental_Out,Price_Ratio_Ce,Price_Ratio_Out,Mortgage_As_Percentage,Affordability
Australia,7.4,5.0,5.3,19.8,18.7,63.1,1.6
Turkey,7.2,5.7,6.8,17.5,14.6,91.7,1.1
Finland,7.2,3.7,4.5,26.9,22.1,44.6,2.2
Switzerland,7.0,3.5,3.5,28.6,28.3,42.4,2.4
Cyprus,6.8,4.8,4.6,21.0,21.5,60.0,1.7
Malta,6.6,4.5,5.2,22.4,19.3,47.0,2.1
Netherlands,6.5,5.2,5.8,19.3,17.3,49.2,2.0
Mexico,6.5,7.0,5.9,14.3,16.8,81.1,1.2
Kuwait,6.3,8.2,5.7,12.2,17.4,52.7,1.9
Honduras,6.1,7.0,10.0,14.3,10.0,86.2,1.2
Germany,6.1,4.2,4.6,23.7,21.9,41.2,2.4
Ireland,6.1,5.5,5.6,18.1,17.9,45.9,2.2
Qatar,6.0,8.4,7.1,11.9,14.1,47.1,2.1
Belgium,6.0,5.6,6.2,18.0,16.1,42.8,2.3
Denmark,5.9,5.2,5.3,19.3,18.8,41.3,2.4
Costa Rica,5.9,9.8,8.7,10.2,11.4,86.1,1.2
New Zealand,5.8,6.2,6.9,16.1,14.4,48.7,2.1
Iceland,5.7,8.2,8.5,12.1,11.8,53.8,1.9
United Arab Emirates,5.6,8.4,11.0,11.8,9.1,46.7,2.1
Bahamas,5.5,5.5,7.5,18.0,13.3,60.5,1.7
Canada,5.4,5.6,6.2,18.0,16.0,37.4,2.7
Puerto Rico,5.3,5.0,6.8,19.8,14.8,43.6,2.3
Mozambique,5.2,18.4,24.4,5.4,4.1,109.9,0.9
Libya,5.1,14.8,12.9,6.7,7.8,47.1,2.1
Belize,3.5,4.4,6.5,22.8,15.5,38.2,2.6
South Africa,3.3,9.2,9.1,10.9,11.0,35.3,2.8
Oman,3.1,11.7,12.4,8.5,8.1,27.8,3.6
Saudi Arabia,2.9,7.5,7.8,13.3,12.8,21.7,4.6
Jamaica,2.9,22.5,10.0,4.4,10.0,41.7,2.4
Namibia,2.9,23.3,29.0,4.3,3.4,34.0,2.9
Tanzania,2.8,67.3,20.5,1.5,4.9,47.9,2.1
United States,2.4,11.2,13.1,8.9,7.6,17.8,5.6
