Country,Cost_of_Living,Rent,Cost_Plus_Rent,Groceries,Restaurant_Price,Local_Purchasing_Power
Taiwan,61.4,14.8,39.1,72.9,28.1,118.6
Ghana,60.5,46.7,53.9,56.3,43.4,14.5
Jordan,59.2,12.5,36.8,50.2,56.2,42.3
Costa Rica,58.6,18.8,39.5,57.6,45.4,53.6
Bahrain,57.8,31.6,45.3,55.5,49.2,94.8
Jamaica,56.9,11.9,35.3,56.0,39.0,36.6
Panama,56.9,31.9,44.9,57.4,47.4,38.5
Trinidad And Tobago,56.2,21.1,39.4,53.5,51.9,57.1
Greece,55.9,10.2,34.0,45.0,54.6,58.2
Belize,55.8,11.3,34.5,49.3,33.4,134.3
Mongolia,55.6,29.7,43.1,54.0,31.8,22.8
Spain,55.0,18.8,37.7,44.7,53.7,87.9
Cyprus,54.1,12.3,34.0,44.1,58.0,95.9
Palestine,53.5,10.3,32.8,50.0,37.8,50.5
Slovenia,53.2,14.1,34.5,43.5,43.1,78.2
Fiji,53.1,27.4,40.8,57.1,36.8,33.7
Brazil,53.1,15.5,35.1,41.6,42.3,42.4
Oman,52.6,27.9,40.8,49.3,51.3,111.9
Argentina,52.6,13.9,34.0,44.1,50.4,58.4
Dominican Republic,52.1,12.5,33.1,46.9,42.3,29.1
Zimbabwe,51.6,13.6,33.4,44.7,40.0,27.2
Mauritius,50.4,12.6,32.3,43.3,35.8,50.8
Chile,50.1,15.4,33.5,43.2,44.4,61.3
Estonia,49.5,14.0,32.5,36.7,46.8,68.5
Portugal,49.2,16.8,33.7,39.1,41.2,62.7
Tanzania,48.5,22.8,36.2,37.6,33.5,41.9
Saudi Arabia,48.4,14.4,32.1,40.5,30.2,138.1
Croatia,48.0,10.1,29.8,39.9,37.5,60.7
Latvia,47.8,12.1,30.7,36.7,41.2,52.5
Honduras,47.4,11.6,30.2,39.4,36.3,37.5
Iraq,47.0,15.2,31.8,39.2,44.4,55.1
Cambodia,46.8,14.5,31.3,50.6,22.1,16.6
Lithuania,46.7,13.3,30.7,36.2,40.1,51.7
Namibia,46.5,21.0,34.3,40.9,43.2,50.5
Ecuador,46.1,12.4,30.0,44.9,30.4,37.8
Guatemala,46.0,14.3,30.8,43.9,32.6,48.2
El Salvador,45.9,9.4,28.4,41.2,35.2,29.7
Libya,45.8,18.8,32.9,47.0,35.7,132.7
Ethiopia,45.7,20.8,33.8,36.9,23.9,16.7
Slovakia,44.9,16.5,31.3,38.8,33.2,64.7
China,44.8,18.7,32.3,47.7,29.7,67.8
Zambia,44.7,21.9,33.8,33.8,32.3,89.9
Thailand,43.7,14.9,29.9,48.3,21.4,34.3
South Africa,43.1,16.3,30.3,36.3,40.2,99.0
Hungary,42.8,12.7,28.3,33.6,32.7,47.5
Russia,42.0,17.6,30.3,33.6,43.8,48.3
Czech Republic,41.2,14.8,28.6,35.8,28.0,76.2
Indonesia,41.1,11.7,27.0,45.8,20.3,27.6
Malaysia,40.2,11.2,26.3,42.4,20.9,73.3
Vietnam,40.1,15.5,28.3,39.6,20.5,24.8
Peru,39.5,17.2,28.8,36.2,25.5,41.2
Montenegro,39.3,9.5,25.1,31.1,35.0,46.6
Kenya,39.0,9.7,25.0,37.6,30.0,31.0
Bolivia,38.7,11.1,25.4,32.1,28.0,46.7
Turkey,38.6,10.6,25.2,33.5,26.4,55.6
Venezuela,38.3,7.5,23.5,39.4,37.3,3.3
Iran,38.3,17.0,28.1,33.5,33.2,43.2
Poland,38.1,13.9,26.5,29.7,31.5,71.8
Nigeria,36.8,17.6,27.6,37.0,22.4,25.2
Bulgaria,36.5,8.9,23.3,30.5,29.6,51.4
Bangladesh,36.1,5.6,21.5,32.7,24.9,37.0
Romania,35.6,9.6,23.2,29.0,30.2,53.4
Morocco,35.5,10.4,23.5,31.5,23.9,41.2
Bosnia And Herzegovina,35.0,6.2,21.2,29.8,24.2,51.3
Philippines,34.7,7.3,21.6,33.9,19.9,36.0
Colombia,34.4,10.7,23.1,28.8,25.0,37.6
Uganda,34.1,6.8,21.1,29.4,20.8,19.4
Armenia,33.9,9.9,22.4,26.8,31.0,32.9
Belarus,33.8,12.2,23.5,27.2,37.6,36.4
Serbia,33.8,7.2,21.1,25.0,27.2,40.8
Sri Lanka,33.5,8.7,21.6,36.8,19.5,30.3
Albania,32.4,6.3,19.9,26.1,25.1,34.5
Algeria,32.4,6.8,20.1,32.5,20.1,36.7
North Macedonia,30.9,6.0,19.0,25.4,20.7,39.8
Kazakhstan,30.7,11.3,21.4,24.8,32.0,44.8
Nepal,30.0,3.4,17.2,26.4,16.3,25.1
Mexico,29.8,8.4,19.5,28.1,25.8,60.1
Tunisia,28.7,6.1,17.9,27.6,16.9,40.2
Moldova,28.4,7.9,18.5,22.0,20.3,29.4
Syria,28.3,6.0,17.6,26.7,22.2,14.1
Azerbaijan,27.8,10.7,19.6,22.9,29.2,30.8
Georgia,27.4,8.6,18.4,22.3,26.7,33.0
Pakistan,27.2,5.0,16.6,24.8,21.0,39.9
Ukraine,26.2,9.4,18.1,19.9,19.7,26.9
India,25.1,6.8,16.3,25.2,16.4,76.7
Egypt,22.4,5.0,14.1,19.0,18.6,29.4
