Rank,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
United Arab Emirates,67.2,66.9,67.0,60.3,63.7,104.6
Argentina,67.1,18.3,43.2,61.5,64.4,59.4
Zimbabwe,65.9,19.8,43.4,59.4,54.3,33.4
Spain,65.7,21.5,44.1,54.2,71.1,76.7
Slovenia,65.1,17.3,41.8,55.6,54.0,64.2
Jamaica,63.6,14.8,39.7,59.4,44.1,43.5
Costa Rica,62.5,18.2,40.9,64.4,52.8,48.1
Russia,61.9,28.7,45.7,49.9,71.8,38.9
Jordan,61.4,15.3,38.8,50.9,58.6,38.7
Estonia,61.2,16.2,39.2,49.0,51.5,51.4
Mauritius,60.1,20.9,40.9,51.3,52.3,60.1
Mozambique,59.9,34.2,47.3,52.7,71.2,41.2
Nigeria,59.4,22.4,41.3,54.0,49.6,40.2
Azerbaijan,59.1,30.5,45.1,50.2,64.7,29.2
Trinidad And Tobago,59.1,22.2,41.0,60.1,51.0,47.0
Croatia,58.9,11.8,35.9,52.3,46.4,50.5
Portugal,58.2,18.3,38.7,47.4,51.1,58.2
Tanzania,57.1,29.6,43.7,58.2,39.0,47.2
Taiwan,57.1,17.2,37.6,66.7,27.9,69.9
Cambodia,57.0,14.8,36.4,68.9,26.1,11.9
Bahrain,56.2,37.4,47.0,55.3,54.2,59.7
Dominican Republic,55.9,12.3,34.6,55.2,44.2,28.2
Latvia,55.9,13.0,35.0,44.8,47.2,44.4
Uzbekistan,55.9,13.7,35.3,49.9,43.1,23.2
Brazil,55.3,18.5,37.3,44.3,45.4,41.2
Panama,55.2,31.2,43.5,61.0,40.4,43.3
Kazakhstan,54.3,19.4,37.2,44.4,59.0,43.5
Oman,54.2,29.0,41.9,47.4,44.4,106.8
Uganda,53.9,8.3,31.6,49.8,26.6,16.9
Namibia,53.7,20.7,37.5,46.7,51.4,42.9
Palestine,53.3,7.5,30.9,48.5,36.0,46.1
Chile,53.2,17.1,35.6,47.8,44.6,55.1
Honduras,53.1,10.1,32.1,49.7,33.9,62.6
Myanmar,53.0,27.5,40.5,59.4,26.4,21.2
Lithuania,52.8,13.6,33.6,44.6,37.5,46.9
Libya,52.1,19.1,36.0,58.1,47.7,44.3
Slovakia,51.6,17.4,34.9,46.9,38.1,56.0
Ethiopia,51.5,16.9,34.6,50.3,24.8,15.9
El Salvador,50.6,10.6,31.1,44.5,36.3,28.7
Guatemala,50.4,14.0,32.6,51.5,35.8,38.0
Saudi Arabia,50.4,15.2,33.2,46.9,34.8,126.2
Belarus,50.2,17.6,34.3,45.4,57.9,35.8
Kenya,50.0,17.1,33.9,50.6,34.8,28.7
Turkey,49.6,11.5,31.0,39.9,38.7,53.6
Peru,49.4,17.0,33.6,47.6,34.3,30.6
Hungary,48.9,9.5,29.7,39.3,37.8,46.9
China,48.9,22.4,36.0,50.2,36.5,48.6
Czech Republic,48.5,16.6,32.9,43.8,33.0,68.1
Iraq,48.2,18.0,33.4,41.9,43.3,41.2
Montenegro,48.1,9.6,29.3,40.3,41.5,40.2
Nicaragua,47.8,7.9,28.3,43.3,28.3,20.6
Thailand,46.5,16.7,32.0,52.7,24.7,38.8
Malaysia,46.0,13.4,30.1,45.9,25.4,73.5
South Africa,45.6,17.0,31.6,40.4,41.5,101.8
Ecuador,45.6,14.0,30.1,46.3,29.3,28.0
Poland,45.1,15.1,30.5,36.5,38.8,63.5
Iran,44.5,17.8,31.5,46.0,40.1,30.6
Bulgaria,43.6,9.5,26.9,38.5,33.8,39.9
Serbia,43.3,8.5,26.3,35.0,37.2,39.1
Romania,42.4,10.0,26.6,37.4,35.1,40.6
Bosnia And Herzegovina,42.3,7.3,25.2,37.5,29.1,44.7
Albania,41.9,8.5,25.6,34.1,33.2,34.8
Vietnam,41.9,14.9,28.7,39.4,22.7,21.3
Sri Lanka,41.7,10.7,26.6,50.8,22.8,28.2
Ukraine,41.3,12.7,27.3,35.5,38.2,27.9
Mexico,41.3,11.7,26.8,42.4,33.3,59.5
Armenia,40.7,9.6,25.5,33.2,32.7,27.7
Kosovo (Disputed Territory),40.2,14.8,27.7,30.5,29.7,29.2
Bolivia,40.0,10.8,25.8,33.9,26.0,41.1
Philippines,40.0,7.5,24.1,41.1,23.1,35.4
Morocco,39.8,10.3,25.4,34.8,32.3,35.5
Georgia,39.6,11.9,26.1,31.8,37.9,26.2
Indonesia,39.3,13.8,26.9,44.1,21.9,26.0
Bangladesh,39.2,5.8,22.9,40.1,25.5,33.4
Colombia,38.9,12.9,26.2,36.2,29.6,36.1
Syria,38.2,10.3,24.6,35.4,31.3,23.1
North Macedonia,37.4,7.0,22.6,32.0,28.5,35.5
Egypt,37.2,9.0,23.4,35.1,32.0,25.8
Moldova,34.7,7.7,21.5,29.7,28.4,23.7
Algeria,34.1,7.8,21.3,34.0,27.0,36.9
Tunisia,34.1,8.5,21.6,32.0,23.3,36.7
Pakistan,30.7,4.8,18.1,30.4,23.5,33.2
Nepal,28.9,3.2,16.3,27.8,18.7,21.3
India,26.3,6.8,16.7,28.5,15.9,65.8
