Country,Cost_of_Living,Rent,Cost_Plus_Rent,Groceries,Restaurant_Price,Local_Purchasing_Power
Latvia,50.4,12.9,33.1,39.5,45.6,43.5
Suriname,50.1,10.1,31.6,48.4,62.2,14.6
Guyana,49.7,8.8,30.8,52.4,44.4,15.9
Oman,49.6,17.9,34.9,46.9,43.0,74.9
Saudi Arabia,49.6,12.5,32.4,41.9,33.8,80.1
Kuwait,49.1,32.8,41.6,36.2,48.1,70.5
Ethiopia,48.9,16.4,33.8,36.0,18.2,9.0
Chile,48.6,15.0,33.1,41.6,47.9,29.4
Costa Rica,48.5,15.7,33.3,46.4,42.8,34.7
Czech Republic,48.2,18.8,34.6,42.6,35.4,54.8
Cambodia,47.4,15.1,32.5,48.3,23.1,10.2
Zimbabwe,47.4,9.5,29.8,40.6,37.5,17.0
Slovakia,47.3,17.5,33.5,41.9,37.8,45.7
Mauritius,47.1,12.1,30.9,49.5,34.7,24.6
Lithuania,46.0,14.8,31.6,36.0,45.4,52.8
Venezuela,46.0,10.9,29.7,37.7,48.1,13.4
Fiji,44.9,17.9,32.4,49.7,38.0,29.4
Thailand,44.8,15.3,31.1,46.0,23.5,28.9
Guatemala,44.4,16.2,31.3,42.4,33.3,22.2
South Africa,44.2,18.2,32.2,37.1,39.9,69.2
El Salvador,44.0,14.1,30.2,42.7,36.1,19.2
Hungary,42.3,12.8,28.6,35.8,34.5,47.4
Nicaragua,41.8,8.7,26.5,40.7,29.9,15.2
Dominican Republic,41.8,10.1,27.1,37.7,34.6,18.8
Poland,41.8,19.4,31.4,34.1,35.1,43.6
Botswana,41.7,10.7,27.4,35.7,46.7,49.0
China,41.3,16.7,29.9,45.2,27.5,53.6
Honduras,41.3,10.7,27.1,35.3,29.1,28.7
Cameroon,40.9,7.6,25.5,41.5,24.3,14.1
Iran,40.6,16.7,29.6,35.1,24.4,16.8
Montenegro,39.8,12.0,26.9,31.8,32.4,33.1
Philippines,39.1,10.4,25.8,38.4,21.7,18.0
Ecuador,38.8,12.1,26.4,36.0,28.7,27.1
Bulgaria,38.7,9.6,25.2,34.3,30.6,39.5
Ghana,38.5,21.1,30.5,38.7,31.9,16.8
Albania,37.7,8.6,24.3,30.9,28.1,25.6
Serbia,37.6,9.7,24.7,28.8,30.6,34.2
Malaysia,37.5,10.4,25.0,39.0,21.3,50.1
Bosnia And Herzegovina,37.0,7.3,23.2,31.2,25.5,38.9
Vietnam,36.9,13.9,26.3,37.9,19.2,25.3
Romania,36.8,10.9,24.8,32.4,31.5,41.9
Russia,36.8,15.3,26.8,30.8,37.2,35.5
Mexico,36.7,14.4,26.4,35.0,33.7,31.3
Brazil,36.1,9.2,23.7,30.1,27.7,25.1
Myanmar,36.0,20.4,28.8,37.2,19.8,12.7
Iraq,36.0,11.3,24.6,31.6,29.1,35.9
Indonesia,36.0,9.9,23.9,38.0,17.7,19.0
Kenya,35.8,10.0,23.9,32.8,30.4,25.4
Morocco,35.6,9.9,23.7,32.1,25.7,29.8
Argentina,35.3,8.3,22.8,28.3,34.2,27.7
Bolivia,35.1,11.3,24.1,31.2,25.4,33.4
Somalia,34.5,5.8,21.2,39.3,26.9,26.2
Mongolia,33.7,10.1,22.8,35.2,23.0,24.3
Rwanda,33.6,15.8,25.3,28.6,29.4,22.8
Tanzania,33.5,13.4,24.2,30.2,25.3,15.0
Armenia,33.2,11.6,23.2,26.5,29.6,24.2
Peru,33.0,11.3,23.0,31.1,21.8,26.1
Bangladesh,33.0,4.8,19.9,30.8,21.2,21.8
Zambia,32.9,8.5,21.6,30.9,21.9,41.2
Uganda,32.8,8.1,21.4,29.9,24.1,11.6
North Macedonia,32.8,6.7,20.7,27.6,22.0,29.9
Turkey,31.7,7.4,20.5,27.0,22.4,31.3
Belarus,31.6,10.2,21.7,27.1,32.5,29.9
Ukraine,31.2,11.6,22.1,26.5,25.4,30.3
Moldova,30.7,8.9,20.6,24.5,27.3,29.4
Paraguay,30.7,10.7,21.4,24.9,24.9,24.1
Sri Lanka,30.4,8.4,20.2,35.8,16.1,18.4
Azerbaijan,30.0,8.9,20.2,25.9,28.7,23.1
Nigeria,29.6,33.9,31.6,32.5,18.8,8.8
Kazakhstan,29.6,9.6,20.4,25.7,27.6,31.6
Egypt,29.1,6.0,18.4,26.3,23.8,18.5
Tunisia,28.8,5.8,18.1,28.0,16.9,25.4
Georgia,28.6,9.6,19.8,25.2,24.8,25.2
Colombia,28.1,8.6,19.1,24.1,20.4,25.3
Syria,28.1,6.0,17.8,27.7,23.4,6.8
Nepal,27.9,4.4,17.0,26.0,19.9,20.0
Algeria,27.8,5.1,17.3,28.9,14.9,22.5
Kosovo (Disputed Territory),27.8,8.8,19.0,25.3,20.9,39.1
Afghanistan,27.6,3.6,16.5,19.0,16.3,20.5
Uzbekistan,27.1,9.6,19.0,27.1,21.9,19.5
India,24.6,5.7,15.8,26.1,18.1,42.2
Pakistan,21.9,4.6,13.9,19.7,16.9,24.6
