Country,Cost_of_Living,Rent,Cost_Plus_Rent,Groceries,Restaurant_Price,Local_Purchasing_Power
Czech Republic,41.8,14.4,28.7,36.5,28.3,89.9
Hungary,41.3,10.5,26.5,33.2,30.8,56.3
Iran,41.1,16.4,29.2,38.6,35.1,47.7
Thailand,40.0,15.2,28.1,43.8,20.2,40.1
Kenya,39.8,12.7,26.8,37.9,29.1,31.1
Namibia,39.7,16.7,28.7,32.7,35.7,49.2
Libya,39.7,14.1,27.4,39.7,32.2,62.5
Vietnam,39.5,13.9,27.2,39.5,18.2,25.9
Montenegro,39.5,9.2,24.9,31.8,35.8,52.5
Belarus,39.4,13.2,26.9,32.4,49.3,39.2
Brazil,38.9,12.3,26.1,29.9,31.5,48.7
Poland,38.5,13.5,26.5,30.8,31.7,80.8
Russia,38.5,17.1,28.2,32.2,42.1,57.4
Peru,38.0,13.1,26.0,35.5,25.2,47.5
Botswana,37.6,8.5,23.6,31.5,30.0,76.3
Malaysia,37.5,11.1,24.8,37.5,19.8,96.3
Bolivia,37.4,10.0,24.3,30.6,24.4,54.0
Egypt,36.7,9.6,23.7,33.1,31.8,40.3
Bulgaria,36.4,8.5,22.9,30.9,29.9,59.2
Indonesia,36.3,9.9,23.6,40.9,18.4,35.5
Morocco,35.6,9.7,23.1,31.7,24.0,48.7
Bangladesh,35.5,5.3,21.0,32.6,21.3,44.5
Armenia,35.5,9.8,23.1,28.3,31.0,33.1
Mexico,35.0,9.9,22.9,33.7,28.2,76.5
Romania,34.8,8.6,22.2,28.8,29.2,61.9
South Africa,34.7,13.2,24.4,29.2,32.3,126.1
Philippines,34.7,6.7,21.3,34.6,18.6,42.9
Bosnia And Herzegovina,34.6,5.8,20.8,29.8,24.1,60.6
Sri Lanka,34.1,8.6,21.9,38.5,21.2,33.0
Albania,33.8,7.1,21.0,27.3,27.6,43.6
Serbia,33.6,6.7,20.6,25.8,25.6,49.6
Syria,31.7,8.0,20.3,29.8,23.7,25.8
North Macedonia,31.0,5.9,19.0,26.1,21.2,46.7
Tunisia,30.7,7.1,19.3,29.9,18.3,46.2
Colombia,29.2,9.5,19.7,24.7,20.9,46.0
Azerbaijan,28.9,11.1,20.4,24.2,28.4,41.1
Algeria,28.9,7.1,18.4,30.5,18.8,49.5
Georgia,28.7,10.6,20.0,24.6,26.9,30.9
Ukraine,28.6,9.5,19.4,22.4,22.7,29.7
Nepal,27.3,3.0,15.6,25.0,14.4,31.2
Kazakhstan,26.8,9.5,18.5,21.5,27.6,59.3
Pakistan,26.7,4.7,16.1,25.4,20.6,43.3
Moldova,25.7,7.1,16.8,20.4,18.6,32.0
India,24.1,6.4,15.6,24.9,15.3,89.6
