Rank,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
Greece,83.0,44.6,59.0,57.8,80.8,10.9,33.2,45.2,-
Malaysia,78.9,67.5,31.4,68.9,50.0,8.3,41.1,64.5,-
Hong Kong,77.5,68.0,81.2,80.4,75.9,29.4,42.3,61.5,-
Mexico,76.6,52.6,47.2,69.8,47.8,6.5,38.9,69.2,-
Argentina,74.4,55.3,40.2,75.3,64.9,10.1,44.0,58.6,-
Belarus,72.8,32.7,71.0,48.0,50.3,16.7,24.8,46.4,-
India,72.6,59.3,54.7,64.0,27.7,10.4,46.7,75.0,-
Bosnia And Herzegovina,69.4,41.7,53.9,54.4,49.0,12.4,22.6,59.0,-
Romania,66.7,35.5,70.7,46.7,49.2,12.7,31.4,59.2,-
Serbia,66.6,36.6,58.4,54.7,50.7,16.4,24.6,50.9,-
Bulgaria,65.6,36.2,59.0,59.6,49.7,9.5,34.3,63.6,-
Georgia,65.0,24.0,80.6,76.9,43.0,15.6,38.0,64.1,-
Turkey,64.5,49.6,58.4,60.2,53.6,7.2,50.7,73.5,-
Chile,61.9,51.1,55.2,60.6,57.9,10.9,40.5,72.2,-
Thailand,46.9,33.3,63.0,85.0,45.9,21.8,33.0,71.8,-
Kazakhstan,43.5,36.6,54.2,58.6,55.0,12.4,36.5,73.9,-
Colombia,40.2,32.6,43.3,67.9,50.1,14.3,45.9,62.4,-
Jordan,38.3,35.8,52.5,74.1,61.8,8.3,48.5,85.7,-
Ecuador,37.5,25.8,41.7,63.1,45.6,13.9,45.7,56.5,-
Philippines,32.7,31.0,58.0,73.2,41.8,19.4,49.5,71.5,-
Brazil,29.7,38.4,30.4,51.2,66.2,16.6,44.8,53.1,-
Pakistan,23.5,30.5,39.4,52.2,31.5,13.8,25.5,81.1,-
Russia,23.0,36.1,47.7,52.7,61.7,14.7,50.2,73.5,-
China,21.2,40.2,72.7,61.5,52.6,28.1,32.6,86.2,-
Lebanon,20.9,40.1,54.8,61.3,69.0,18.1,32.4,89.8,-
Ukraine,20.1,27.1,49.8,46.9,44.3,16.7,39.1,71.0,-
Indonesia,18.0,23.1,51.6,64.5,40.4,20.2,40.0,72.4,-
Kenya,5.4,27.3,20.9,57.1,53.8,12.3,67.1,62.2,-
Cambodia,2.5,12.3,59.2,54.2,54.2,20.3,33.3,78.3,-
Egypt,0.9,24.7,45.1,58.3,36.2,10.8,60.7,92.6,-
Vietnam,-1.3,22.6,49.8,35.4,44.2,19.1,31.0,81.4,-
Bolivia,-1.5,33.0,31.7,45.7,42.3,11.4,63.0,83.3,-
Iran,-11.7,27.4,48.9,50.0,47.7,21.5,54.5,86.1,-
Mongolia,-40.0,21.7,29.7,27.2,53.9,18.8,36.9,95.7,-
Venezuela,-59.6,12.2,17.4,42.8,119.1,28.2,28.9,76.6,-
