Rank,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
India,121.6,77.7,56.8,68.0,23.8,10.8,47.6,75.2,66.0
Malaysia,121.3,76.3,38.8,67.5,40.7,9.3,37.6,64.5,58.6
Jordan,113.8,46.4,56.5,64.8,52.5,6.8,45.4,80.6,88.8
Lebanon,112.2,58.9,53.4,67.0,57.2,13.1,39.5,86.7,94.7
Colombia,111.1,38.0,49.2,67.0,32.6,18.7,47.4,63.1,96.7
North Macedonia,108.9,41.6,60.1,59.1,31.5,13.8,31.2,81.5,76.3
Indonesia,107.8,35.0,54.4,63.0,36.2,13.8,44.8,62.3,68.4
Russia,107.3,52.1,56.4,57.3,36.7,11.4,47.0,63.4,48.7
Hong Kong,104.5,76.5,78.0,66.8,74.7,46.9,40.3,67.9,83.6
Thailand,103.9,44.0,51.6,79.2,44.6,21.5,39.8,72.6,69.2
Pakistan,103.0,41.6,52.1,58.9,22.2,13.6,42.2,75.5,72.2
Ukraine,100.4,34.3,50.0,50.3,27.1,15.3,39.6,66.2,70.4
Brazil,100.3,40.7,29.7,54.2,40.5,17.9,45.9,59.1,95.4
China,99.1,74.2,51.3,63.5,40.3,27.2,42.7,83.1,78.8
Philippines,94.6,31.8,59.6,66.6,32.8,19.4,45.3,74.1,60.8
Iran,92.0,44.3,50.6,52.0,30.9,13.2,50.8,80.6,71.0
Vietnam,86.0,35.6,49.5,54.5,36.9,20.1,32.8,87.5,71.2
Egypt,84.6,25.3,47.6,44.2,24.7,13.3,47.1,87.6,92.0
