Country,Price_to_Income,Gross_Rental_Ce,Gross_Rental_Out,Price_Ratio_Ce,Price_Ratio_Out,Mortgage_As_Percentage,Affordability
Luxembourg,13.9,3.9,3.7,25.4,27.0,84.4,1.2
Russia,13.5,5.8,6.3,17.4,15.8,193.9,0.5
Iran,13.5,6.1,8.1,16.4,12.3,275.3,0.4
Bangladesh,12.9,3.2,3.5,30.8,28.7,181.3,0.6
Taiwan,12.9,1.5,1.7,64.9,58.6,78.8,1.3
Japan,12.7,2.2,2.8,45.2,36.3,72.8,1.4
Dominican Republic,12.6,7.0,6.5,14.2,15.4,164.4,0.6
Ecuador,12.6,6.4,5.2,15.6,19.4,150.5,0.7
Tunisia,12.5,4.2,4.8,23.5,20.7,113.7,0.9
Italy,12.4,2.7,3.6,37.2,28.1,82.6,1.2
Kazakhstan,12.4,6.2,5.8,16.1,17.2,212.0,0.5
South Korea,12.4,2.0,2.5,49.1,39.9,85.5,1.2
Georgia,12.3,7.6,7.4,13.1,13.4,158.4,0.6
Panama,12.2,10.3,9.9,9.7,10.1,102.4,1.0
Pakistan,12.1,4.1,3.8,24.5,26.3,157.0,0.6
Argentina,12.1,3.8,3.9,26.5,25.6,333.2,0.3
Kuwait,11.8,5.3,5.2,19.0,19.4,94.9,1.1
Sweden,11.8,2.5,3.2,39.7,31.1,71.3,1.4
France,11.6,3.0,3.7,33.3,27.2,73.9,1.4
Bosnia And Herzegovina,11.3,3.4,3.3,29.4,30.2,104.9,1.0
Hungary,11.2,5.4,6.0,18.4,16.8,97.3,1.0
Croatia,10.9,3.3,3.7,30.2,27.1,89.2,1.1
Israel,10.9,3.5,3.5,29.0,28.3,71.9,1.4
Romania,10.8,4.9,4.8,20.4,21.0,83.3,1.2
Czech Republic,10.7,4.2,4.6,24.0,21.7,65.4,1.5
Chile,10.7,4.4,5.1,22.6,19.8,83.6,1.2
Egypt,10.7,7.2,7.7,13.9,12.9,138.1,0.7
Estonia,10.5,4.1,4.0,24.3,25.3,68.8,1.5
Latvia,10.4,4.8,5.1,21.0,19.8,68.5,1.5
India,10.3,3.1,3.8,32.4,26.2,123.4,0.8
Poland,10.1,4.7,5.3,21.4,19.0,73.1,1.4
United Kingdom,10.0,4.2,4.4,24.0,22.8,69.1,1.4
Slovakia,9.9,5.6,5.6,17.8,17.9,61.6,1.6
Austria,9.7,3.6,3.8,27.5,26.5,59.1,1.7
Bolivia,9.7,6.0,6.8,16.6,14.8,89.1,1.1
Malaysia,9.5,4.1,4.1,24.6,24.7,72.9,1.4
Australia,9.2,4.9,5.0,20.4,19.8,70.9,1.4
Bulgaria,9.1,5.4,5.7,18.6,17.6,77.2,1.3
Turkey,8.9,5.4,6.3,18.4,15.9,121.4,0.8
Portugal,8.9,5.9,6.1,16.8,16.5,60.9,1.6
Malta,8.7,5.9,6.1,17.0,16.3,61.4,1.6
Netherlands,8.5,5.4,5.9,18.6,16.9,56.2,1.8
Costa Rica,8.5,7.2,6.6,14.0,15.2,106.2,0.9
Slovenia,8.3,4.2,4.2,23.8,23.8,60.3,1.7
Greece,8.3,4.1,4.2,24.1,23.8,62.5,1.6
Spain,8.3,4.4,5.2,22.8,19.1,52.0,1.9
Namibia,8.2,10.1,9.2,9.9,10.8,100.9,1.0
Denmark,8.2,4.7,4.8,21.2,20.8,52.4,1.9
New Zealand,8.1,5.0,5.9,20.0,16.9,63.9,1.6
Guatemala,8.1,7.2,8.6,13.8,11.7,94.4,1.1
Jordan,8.0,6.5,7.2,15.4,13.8,76.6,1.3
Norway,7.9,4.2,4.5,23.9,22.2,51.0,2.0
Iraq,7.8,7.0,8.3,14.2,12.1,103.6,1.0
Finland,7.6,3.7,4.6,26.7,21.8,44.5,2.2
Germany,7.5,3.7,4.1,26.7,24.5,45.9,2.2
Ireland,7.0,6.0,6.9,16.6,14.5,50.8,2.0
Belgium,7.0,5.8,5.9,17.2,16.9,44.7,2.2
Mexico,6.9,6.9,6.3,14.6,15.8,86.6,1.2
Canada,6.4,5.5,6.2,18.3,16.2,42.1,2.4
Qatar,6.2,9.5,9.2,10.5,10.9,47.1,2.1
Iceland,6.1,8.1,8.4,12.4,11.9,57.7,1.7
Palestine,6.1,6.9,6.9,14.4,14.6,53.9,1.9
United Arab Emirates,5.6,9.7,10.7,10.3,9.4,42.1,2.4
Cyprus,5.2,4.9,5.1,20.4,19.5,39.8,2.5
Puerto Rico,5.1,7.0,6.5,14.2,15.3,40.1,2.5
Libya,3.9,7.1,7.1,14.1,14.0,26.6,3.8
South Africa,3.6,9.5,10.4,10.5,9.6,42.0,2.4
United States,3.3,11.2,12.2,8.9,8.2,23.5,4.2
Saudi Arabia,2.8,7.3,8.0,13.7,12.5,21.1,4.7
